epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
0,-0.6248183503746987,0.6318359375,-0.6881126165390015,0.704038667678833
5,-0.794736921787262,0.7948863655328751,-0.7876918315887451,0.7878442764282226
10,-0.8103314936161041,0.8101917624473571,-0.8219717502593994,0.8224708676338196
15,-0.8031463325023651,0.8032492905855179,-0.808838939666748,0.80899099111557
20,-0.8241147100925446,0.8238991498947144,-0.8243090748786926,0.8239804029464721
25,-0.833687087893486,0.8341974437236785,-0.8340720415115357,0.8343352794647216
30,-0.833216518163681,0.8333451718091964,-0.8342477202415466,0.8342690706253052
35,-0.8438837438821792,0.8432705968618393,-0.8365408420562744,0.8372616529464721
40,-0.8357617378234863,0.8362393468618393,-0.8286973357200622,0.8287341117858886
45,-0.8502677887678146,0.8508522748947144,-0.8448596596717834,0.8423463940620423
50,-0.8484292507171631,0.8483664780855179,-0.8526920676231384,0.8520524382591248
55,-0.8581201076507569,0.8579012811183929,-0.863986587524414,0.8646848559379577
60,-0.8713469952344894,0.8726740062236786,-0.8776542544364929,0.8766551852226258
65,-0.8777924299240112,0.8777876436710358,-0.8805770993232727,0.8780323147773743
70,-0.8848032116889953,0.8843394905328751,-0.8885713219642639,0.8879237294197082
75,-0.8769707649946212,0.8770063936710357,-0.8741952419281006,0.8743114352226258
80,-0.8972927182912827,0.896839490532875,-0.8967761754989624,0.8964645147323609
85,-0.8997308433055877,0.8996626436710358,-0.8987504243850708,0.8986758470535279
90,-0.9025217056274414,0.9027521312236786,-0.8852073431015015,0.8849973559379578
95,-0.9174044698476791,0.9172407686710358,-0.9118639588356018,0.9119570970535278
100,-0.9181805789470673,0.9182350873947144,-0.925373125076294,0.9260195970535279
105,-0.9213998764753342,0.9216796875,-0.9039895057678222,0.9044756412506103
110,-0.9247399777173996,0.9245205968618393,-0.9381145715713501,0.9386520147323608
115,-0.9300165891647338,0.9295809686183929,-0.9319804787635804,0.9327860116958618
120,-0.9288169413805007,0.9287464499473572,-0.928982925415039,0.9289592146873474
125,-0.9236216753721237,0.9232954561710358,-0.9301100850105286,0.9303892970085144
130,-0.9236635208129883,0.923828125,-0.9243730306625366,0.9245895147323608
135,-0.9396243065595626,0.9396129280328751,-0.9400239229202271,0.9398305058479309
140,-0.9262971043586731,0.9262784093618393,-0.9377622246742249,0.9380693912506104
145,-0.9325068086385727,0.9327414780855179,-0.9368199110031128,0.9370233058929444
150,-0.9301939994096756,0.9300603717565536,-0.9461941480636596,0.9462129235267639
155,-0.930150282382965,0.9299538373947144,-0.9395737528800965,0.9395656824111939
160,-0.9372621655464173,0.9370205968618393,-0.9329335570335389,0.9335142970085144
165,-0.9289413452148437,0.9287997186183929,-0.9354864120483398,0.9351430058479309
170,-0.934600007534027,0.9346768468618393,-0.9354819416999817,0.9349443912506104
175,-0.9371775656938552,0.9371271312236786,-0.9416333794593811,0.9421742558479309
180,-0.9371623575687409,0.9371626436710357,-0.9365845918655396,0.9365068912506104
185,-0.9291335701942444,0.9289595186710358,-0.9409910798072815,0.9411281824111939
190,-0.9341024935245514,0.9342151999473571,-0.9525507807731628,0.9525291323661804
195,-0.9394879162311554,0.9397194623947144,-0.9458158731460571,0.9458156824111938
200,-0.9341460049152375,0.9340376436710358,-0.9373983979225159,0.937486755847931
205,-0.9375143408775329,0.9374467343091964,-0.9441244006156921,0.9441869735717774
210,-0.9294133484363556,0.9296164780855178,-0.9321991205215454,0.9321371793746949
215,-0.9313202917575836,0.93125,-0.9407554507255554,0.9409428000450134
220,-0.9360165566205978,0.935901990532875,-0.943514096736908,0.9435381412506103
225,-0.9367723196744919,0.936807531118393,-0.9354840159416199,0.9355270147323609
230,-0.9366176635026932,0.9363813936710358,-0.9433067083358765,0.9434057235717773
235,-0.937438017129898,0.9374467343091964,-0.9367652297019958,0.9370895147323608
240,-0.9372429728507996,0.9372159093618393,-0.9420833945274353,0.9420418381690979
245,-0.9337579071521759,0.9338245749473572,-0.9414473414421082,0.9415121793746948
250,-0.9424590677022934,0.9427201718091964,-0.932607364654541,0.9324020147323608
255,-0.9377285122871399,0.9376953125,-0.9523634076118469,0.9525291323661804
260,-0.939627394080162,0.939737218618393,-0.943431305885315,0.943087923526764
265,-0.93517307639122,0.9351740062236786,-0.9400726795196533,0.9397642970085144
270,-0.9394195318222046,0.9394176155328751,-0.9535218000411987,0.9533765912055969
275,-0.9446633875370025,0.9447620749473572,-0.949801230430603,0.9498543381690979
280,-0.9378360480070114,0.9376953125,-0.9403783917427063,0.9402807235717774
285,-0.9392457157373428,0.939453125,-0.9479754805564881,0.9480270147323608
290,-0.9450926154851913,0.9451882123947144,-0.9530354380607605,0.9530455470085144
295,-0.9339592903852463,0.9338955968618393,-0.9447923302650452,0.9453654646873474
