epoch,train_loss,train_acc,valid_loss,valid_acc
0,-0.7345076516270638,0.7346768468618393,-0.7822492718696594,0.7853019118309021
5,-0.8400658905506134,0.840234375,-0.6746228337287903,0.6736758470535278
10,-0.8519179373979568,0.8516690343618393,-0.6979628324508667,0.6982256412506104
15,-0.8779959827661514,0.8792258530855179,-0.8749772906303406,0.8750926852226257
20,-0.8684115797281265,0.8691583812236786,-0.8525405287742615,0.8513241529464721
25,-0.8808655738830566,0.8809126436710357,-0.8568236589431762,0.8577727794647216
30,-0.8661000370979309,0.8663707405328751,-0.8200223445892334,0.8200079441070557
35,-0.8894960880279541,0.8896484375,-0.8884578108787536,0.8885063529014587
40,-0.8546652376651764,0.8541370749473571,-0.8556035041809082,0.8552304029464721
45,-0.9004388183355332,0.9004261374473572,-0.8895364284515381,0.8891684293746949
50,-0.902642422914505,0.9021306842565536,-0.9010984063148498,0.9002913117408753
55,-0.8910493075847625,0.8909978717565536,-0.7801852226257324,0.7809984087944031
60,-0.9074199497699738,0.9077059686183929,-0.900283420085907,0.9010858058929443
65,-0.8988831102848053,0.899112218618393,-0.8680514097213745,0.8679952383041382
70,-0.9050466597080231,0.9047230124473572,-0.9215461015701294,0.9219279646873474
75,-0.9022027999162674,0.902112928032875,-0.8577792525291443,0.8583686470985412
80,-0.9000532627105713,0.9,-0.9068997859954834,0.9071371793746948
85,-0.8933764934539795,0.8930752843618393,-0.9144375562667847,0.9135858058929444
90,-0.8687795758247375,0.8686612218618393,-0.8857058167457581,0.8852489352226257
95,-0.8938708782196045,0.8940340936183929,-0.8823870420455933,0.8820577383041381
100,-0.8991663664579391,0.8990056842565537,-0.8954636096954346,0.8965174794197083
105,-0.8827779352664947,0.8829190343618393,-0.8291332125663757,0.8296345353126526
110,-0.9016393393278122,0.9018288373947143,-0.8979008078575135,0.8978945970535278
115,-0.9060620248317719,0.9062322467565537,-0.8551882028579711,0.8540651440620423
120,-0.8962500929832459,0.8963423311710358,-0.8873310923576355,0.8872748970985412
125,-0.9131081372499465,0.9132279843091965,-0.8896195650100708,0.8894862294197082
130,-0.9086648255586625,0.908558240532875,-0.9098348140716552,0.9095471382141114
135,-0.9084358483552932,0.9084339499473572,-0.8978556990623474,0.8978945970535278
140,-0.908748236298561,0.9086470186710358,-0.8981314539909363,0.8985434293746948
145,-0.9063131779432296,0.9063210248947143,-0.8810764431953431,0.8812764883041382
150,-0.9168153315782547,0.9168323874473572,-0.9131657600402832,0.9132017970085144
155,-0.9068375587463379,0.9067826718091965,-0.8990875124931336,0.8995895147323608
160,-0.9212118536233902,0.9213600873947143,-0.9128651261329651,0.9132547616958618
165,-0.920070543885231,0.9201882123947144,-0.8850568294525146,0.8853151440620423
170,-0.9125957369804383,0.9125887811183929,-0.8753142118453979,0.8750926852226257
175,-0.9188005357980729,0.9185014218091965,-0.8995186924934387,0.8999073147773743
180,-0.9242266833782196,0.9243785530328751,-0.9269006967544555,0.9262844324111938
185,-0.9125875681638718,0.912464490532875,-0.9027927041053772,0.9030985116958619
190,-0.9096465021371841,0.909463781118393,-0.9120233297348023,0.9117584705352784
195,-0.9074566036462783,0.9074751436710358,-0.916288411617279,0.9161281824111939
200,-0.906402051448822,0.9062855124473572,-0.9152614116668701,0.9154793381690979
205,-0.9162104845046997,0.9162109375,-0.9347151160240174,0.9342823147773742
210,-0.9120385080575943,0.9122336655855179,-0.9208606004714965,0.9216631412506103
215,-0.9162508845329285,0.9163352280855179,-0.8758054494857788,0.8753575205802917
220,-0.9153524100780487,0.9152698874473572,-0.8900340318679809,0.8902674794197083
225,-0.9166912198066711,0.9168501436710358,-0.8863965153694153,0.8865598559379577
230,-0.9231750667095184,0.9229758530855179,-0.9356098294258117,0.9363744735717774
235,-0.926540669798851,0.9266512811183929,-0.9233251571655273,0.9234242558479309
240,-0.9229311734437943,0.9231711655855179,-0.9183548331260681,0.9183395147323609
245,-0.9096369028091431,0.9095880687236786,-0.8964685440063477,0.8960672616958618
250,-0.9267132759094239,0.9268465936183929,-0.9215069532394409,0.9213320970535278
255,-0.910010501742363,0.9100497186183929,-0.8990314722061157,0.8986758470535279
260,-0.9230487555265426,0.9232421875,-0.9234848022460938,0.9235434293746948
265,-0.9036124795675278,0.903515625,-0.9095219612121582,0.9093485116958618
270,-0.9242029994726181,0.924112218618393,-0.9364545106887817,0.9364406824111938
275,-0.9180273354053498,0.9180930405855179,-0.9175130963325501,0.9174920558929444
280,-0.9259964466094971,0.9261896312236786,-0.8520987868309021,0.8523702383041382
285,-0.9165493488311768,0.916796875,-0.9230279564857483,0.9237420558929443
290,-0.9290297776460648,0.9288884967565536,-0.9262624621391297,0.9261520147323609
295,-0.9261347740888596,0.9260298311710358,-0.878168785572052,0.8782176852226258
